,prediction
0,24.952332833349267
1,23.616997237985203
2,29.205885532615994
3,11.960705152359129
4,21.33362042336549
5,19.469548949350603
6,20.422284206654076
7,21.52044058013199
8,18.989541006051507
9,19.950982996898105
10,4.924682439244755
11,16.096940582049378
12,16.935995740181596
13,5.335084015667732
14,39.844343980363256
15,32.335498431002605
16,22.327725721662574
17,36.54017819011862
18,31.03300610675499
19,23.321725026812874
20,24.920864984444492
21,24.26106474217228
22,20.7150442215834
23,30.450725515677203
24,22.45009233780601
25,9.874700063925083
26,17.70324412286322
27,17.974774997066163
28,35.69932011668836
29,20.794097200870038
30,18.105541741115765
31,17.683178650269458
32,19.713547131772756
33,23.796938732148476
34,29.065289580125807
35,19.23738283766048
36,10.978158776072824
37,24.561999784277177
38,17.329130520321698
39,15.203408170839861
40,26.09337457742785
41,20.877067950332258
42,22.261875176487358
43,15.325826930394832
44,22.85847962515731
45,25.08887173464077
46,19.741388191802795
47,22.70744910934593
48,9.667085581801931
49,24.461759257733785
50,20.726541689510245
51,17.525450473127663
52,24.45596996974401
53,30.10668864538173
54,13.312509811897286
55,21.520523424347374
56,20.656429319347858
57,15.342856516333285
58,13.774112902976938
59,22.074292872813952
60,17.532939565181493
61,21.607077659029745
62,32.910501877542536
63,31.327961141998962
64,17.643463643120132
65,32.699098538160285
66,18.56579206648577
67,19.321108212058686
68,18.812566917609654
69,23.043514421229986
70,22.816499560622848
71,23.99800754269411
72,30.627332541216695
73,28.866220701849848
74,25.781981448636405
75,5.006896054555902
76,36.83409088115272
77,23.804903282600456
78,27.36965298593571
79,19.330571459004556
80,28.5143984565291
81,19.191474483891934
82,18.816942828400634
83,37.94245021220265
84,39.344105504729
85,23.907597442088417
86,24.959858463497902
87,15.702623582994555
88,25.920609678939087
89,16.56968829303915
90,15.763038056817436
91,12.8919008324971
92,24.43894050193538
93,30.931988503598053
94,22.367986085074584
95,20.176286073640583
96,0.22819710797103454
97,25.26459846571817
98,15.35369364369302
99,17.798339898428594
100,25.446895538980755
101,22.466122343125342
102,32.579110189473624
103,22.014362622902105
104,27.375427978709254
105,23.313480385954122
106,6.298115320282591
107,14.75925591744047
108,22.44945222551292
109,29.111728119268186
110,32.97160855873304
111,12.854571414581319
112,19.79963355680358
113,20.600174389777955
114,12.069289388371072
115,23.385324821304817
116,4.752438108100755
117,19.834291097221843
118,9.175555712104234
119,44.63299931151402
120,30.63144602735715
121,12.299712991698922
122,17.538048310380866
123,21.502223312952587
124,23.632813013377493
125,20.282598171335433
126,35.17973368087236
